img_fn,annotation_ok,reason
data/cache/overlays/cat-emotions-3_train_attentive_0.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_12.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_16.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_18.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_19.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_24.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_25.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_26.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_27.jpg,0,head turned
data/cache/overlays/cat-emotions-3_train_attentive_29.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_30.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_31.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_32.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_33.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_34.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_35.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_38.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_40.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_41.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_45.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_47.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_50.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_55.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_56.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_59.jpg,1,mouth open
data/cache/overlays/cat-emotions-3_train_attentive_61.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_64.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_68.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_69.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_6.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_72.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_73.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_77.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_79.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_8.jpg,1,
data/cache/overlays/cat-emotions-3_train_attentive_9.jpg,1,
data/cache/overlays/cat-emotions-3_train_no_clear_emotion_recognizable_67.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_15.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_17.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_1.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_20.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_21.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_37.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_39.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_42.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_44.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_48.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_65.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_70.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_74.jpg,1,
data/cache/overlays/cat-emotions-3_train_relaxed_76.jpg,1,
data/cache/overlays/cat-emotions-3_train_sad_58.jpg,1,
data/cache/overlays/cat-emotions-3_train_uncomfortable_10.jpg,1,
data/cache/overlays/cat-emotions-3_train_uncomfortable_28.jpg,1,
data/cache/overlays/cat-emotions-3_train_uncomfortable_36.jpg,1,
data/cache/overlays/cat-emotions-3_train_uncomfortable_43.jpg,1,
data/cache/overlays/cat-emotions-3_train_uncomfortable_52.jpg,1,
data/cache/overlays/cat-emotions-3_train_uncomfortable_60.jpg,1,
data/cache/overlays/cat-emotions-3_train_uncomfortable_71.jpg,0,mouth open
data/cache/overlays/cat-emotions-7_train_Angry_46.jpg,1,
data/cache/overlays/cat-emotions-7_train_Angry_57.jpg,0,ears not on picture
data/cache/overlays/cat-emotions-7_train_Angry_63.jpg,0,too fluffy for ears to get detected
data/cache/overlays/cat-emotions-7_train_Angry_66.jpg,0,too fluffy for ears to get detected
data/cache/overlays/cat-emotions-7_train_Happy_4.jpg,1,
data/cache/overlays/cat-emotions-7_train_Happy_7.jpg,1,
data/cache/overlays/cat-emotions-7_train_Normal_2.jpg,1,
data/cache/overlays/cat-emotions-7_train_Normal_5.jpg,1,
data/cache/overlays/cat-emotions-7_train_Normal_75.jpg,1,
data/cache/overlays/cat-emotions-7_train_Scared_53.jpg,0,face covered
data/cache/overlays/cat-emotions-7_train_Scared_54.jpg,0,black ear on black not detected
data/cache/overlays/cat-emotions-7_train_Surprised_11.jpg,1,
data/cache/overlays/cat-emotions-7_train_Surprised_13.jpg,0,mouth open/ears down
data/cache/overlays/cat-emotions-7_train_Surprised_22.jpg,1,
data/cache/overlays/cat-emotions-7_train_Surprised_23.jpg,1,mouth open
data/cache/overlays/cat-emotions-7_train_Surprised_51.jpg,0,one ear not on picture
data/cache/overlays/cat-emotions-7_valid_Angry_78.jpg,0,bad quality/fluffy black cat
data/cache/overlays/cat-emotions-7_valid_Disgusted_14.jpg,1,
data/cache/overlays/cat-emotions-7_valid_Happy_3.jpg,1,
data/cache/overlays/cat-emotions-7_valid_Happy_49.jpg,0,ears not on picture
data/cache/overlays/cat-emotions-7_valid_Normal_62.jpg,1,
